sequence,fps,frames,left_arm__shape_mean_deg,left_arm__elbow_p95_deg,left_arm__upper_ori_p95_deg,left_arm__hand_ori_p95_deg,left_arm__limit_occupancy,left_arm__limit_longest_frames,left_arm__limit_longest_sec,left_arm__score,left_arm__status,right_arm__shape_mean_deg,right_arm__elbow_p95_deg,right_arm__upper_ori_p95_deg,right_arm__hand_ori_p95_deg,right_arm__limit_occupancy,right_arm__limit_longest_frames,right_arm__limit_longest_sec,right_arm__score,right_arm__status,waist__torso_ori_mean_deg,waist__torso_ori_p95_deg,waist__limit_occupancy,waist__limit_longest_frames,waist__limit_longest_sec,waist__score,waist__status,sequence_status,repair_region
gMH_sBM_c01_d22_mMH0_ch01,30.0,359,15.161099352942538,35.772765125440145,32.41321025840832,25.197439806439323,0.008356545961002786,3,0.1,1.6570332150880438,GOOD,16.122660318068974,27.817872496752766,27.561318651952895,22.55494018992928,0.06963788300835655,15,0.5,1.6296723138856608,GOOD,7.72493514517541,15.441339093633673,0.12534818941504178,8,0.26666666666666666,0.8855688870043861,GOOD,GOOD,none
gMH_sBM_c01_d22_mMH0_ch05,30.0,359,15.630371121022836,29.330431020701667,51.706580246156676,20.551972950441062,0.24512534818941503,31,1.0333333333333334,2.9306023006432227,GOOD,12.105408071766394,22.844037060185816,29.935366039075532,17.352735409074917,0.027855153203342618,3,0.1,1.2384960346637968,GOOD,5.864741277462566,20.563457502571527,0.0,0,0.0,0.973205744337079,GOOD,GOOD,none
gMH_sBM_c01_d22_mMH0_ch06,30.0,359,15.855155867405509,29.980614607775813,25.514040140261457,24.545542942190032,0.0,0,0.0,1.353905396934359,GOOD,13.407340786138771,20.794617470122468,25.56571588685752,25.485880320067444,0.0,0,0.0,1.3890340838395387,GOOD,3.843212968133991,6.363928911559379,0.0,0,0.0,0.0,GOOD,GOOD,none
gMH_sBM_c01_d22_mMH0_ch07,30.0,359,14.311681092863175,27.78904875387933,18.216289446681735,16.570585147261635,0.0,0,0.0,0.5395207430653102,GOOD,15.042891448456214,22.656761826210666,17.904455747332648,14.843913864397006,0.0,0,0.0,0.8505687447178801,GOOD,8.090970899490088,15.792937651349643,0.3398328690807799,11,0.36666666666666664,0.9730892616398453,GOOD,GOOD,none
gMH_sBM_c01_d22_mMH0_ch08,30.0,359,14.792820990382497,32.78702938648075,19.644233112503425,19.81550934933874,0.002785515320334262,1,0.03333333333333333,0.9523505226245739,GOOD,15.41240755020091,29.383080339671093,26.111834883128235,25.767115627495485,0.0,0,0.0,1.5430258850535807,GOOD,4.629362020225129,7.603903370392907,0.0,0,0.0,0.0,GOOD,GOOD,none
gMH_sBM_c01_d22_mMH0_ch09,30.0,359,14.614532555161471,33.334897130871234,27.39238703467774,25.15800603249816,0.0,0,0.0,1.315575772535098,GOOD,15.732548062415091,28.2654134484923,31.30099696005427,27.165246741981708,0.0,0,0.0,1.9077642249000382,GOOD,8.87433587666319,13.178326822964177,0.0,0,0.0,0.9009213856137384,GOOD,GOOD,none
gMH_sBM_c01_d22_mMH0_ch10,30.0,359,13.506916074496633,34.52934480701234,28.350815667313704,18.908816151289297,0.06128133704735376,5,0.16666666666666666,1.317636473101349,GOOD,13.625650571961346,33.577772163363036,26.839224932588305,17.283219861039246,0.0947075208913649,9,0.3,1.7553009178090089,GOOD,8.866150160995309,15.870257792664475,0.17270194986072424,11,0.36666666666666664,1.1070150863027515,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch01,30.0,359,14.964412118942198,15.960592088041368,12.735795964253764,11.579266950802118,0.0,0,0.0,0.49006649919062434,GOOD,14.239763287921406,15.25012639678575,13.024648014641702,11.903790201472116,0.0,0,0.0,0.30639143736124985,GOOD,3.158333161787935,6.007725095895715,0.0,0,0.0,0.0,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch02,30.0,359,13.240559763618013,13.137762331613425,15.558891645426867,11.752974778485918,0.0,0,0.0,0.01987401029103973,GOOD,12.944091409571167,9.524763064905136,11.18660836572113,8.760186643776214,0.0,0,0.0,0.0,GOOD,3.578387551653973,6.583422468228242,0.0,0,0.0,0.0,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch03,30.0,359,14.090216558204787,21.763987614106362,12.993403807768534,13.227244495647188,0.0,0,0.0,0.2516236968133921,GOOD,14.88601338933042,17.853164403719475,13.970082720758379,14.217076728373955,0.0,0,0.0,0.49919933560399127,GOOD,4.51478120514479,10.215126093131317,0.013927576601671309,5,0.16666666666666666,0.037774491385024984,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch04,30.0,359,13.826324844349092,20.872788379663856,12.433450390121115,11.730422550573447,0.0,0,0.0,0.17964543176385875,GOOD,13.921419196889545,19.598946318945842,14.51046905619556,13.608931871632487,0.0,0,0.0,0.30939746350140196,GOOD,1.3499924276114528,2.196143064307696,0.0,0,0.0,0.0,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch06,30.0,359,11.015044252520308,11.561861768787209,15.407391431649415,12.248875238910788,0.0,0,0.0,0.0,GOOD,11.901458644060922,8.718177247899055,7.549929368390451,6.906620746214684,0.0,0,0.0,0.0,GOOD,2.9325258810870087,4.756286099081713,0.0,0,0.0,0.0,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch07,30.0,359,14.496922674991216,20.80883787365948,16.228342140915874,16.627488581654966,0.0,0,0.0,0.36477857568258165,GOOD,13.467342065279473,14.658449162864907,18.482612197278325,18.2192892023554,0.0,0,0.0,0.3378378513045227,GOOD,3.290831609502204,7.67509292896648,0.0,0,0.0,0.0,GOOD,GOOD,none
gPO_sBM_c01_d10_mPO0_ch09,30.0,359,14.375667405546004,17.813381895418846,11.981650869684435,12.05900476526426,0.0,0,0.0,0.3294823625833045,GOOD,14.713729665429009,10.651357930735019,12.46804761893562,10.87131196407827,0.0,0,0.0,0.4477987050517643,GOOD,4.599785929515577,8.57077261037311,0.0,0,0.0,0.0,GOOD,GOOD,none
gWA_sBM_c01_d25_mWA0_ch02,30.0,359,15.013936227321793,36.093715372876886,56.134247160248826,30.33505314018649,0.4233983286908078,33,1.1,3.6256817933171006,GOOD,11.435694157503466,23.715013132880912,49.602448002865636,28.05626897588762,0.3426183844011142,20,0.6666666666666666,3.2097840910674127,GOOD,9.342853859830944,32.977159900253454,0.03064066852367688,5,0.16666666666666666,2.503998249111526,GOOD,GOOD,none
